Date,gross,net
2021-05-25,-0.3157837980011046,-0.46403379800110495
2021-05-26,-0.29045513371743764,-0.438955133717438
2021-05-27,-0.3014241790600487,-0.45017417906004903
2021-05-28,-0.2765162889095088,-0.42551628890950915
2021-06-01,-0.27745411535302,-0.4267041153530204
2021-06-02,-0.26183294081789193,-0.41133294081789235
2021-06-03,-0.2690581471034752,-0.4188081471034756
2021-06-04,-0.2704334464606033,-0.42043344646060365
2021-06-07,-0.268916540511604,-0.41916654051160435
2021-06-08,-0.27967220035997453,-0.43017220035997483
2021-06-09,-0.3011260304129974,-0.4518760304129977
2021-06-10,-0.3045720240894612,-0.45557202408946146
2021-06-11,-0.3193090018982733,-0.4705590018982736
2021-06-14,-0.31033439982545474,-0.461834399825455
2021-06-15,-0.30401976767879346,-0.45576976767879374
2021-06-16,-0.34827627422299484,-0.5002762742229951
2021-06-17,-0.36787696993879754,-0.5201269699387978
2021-06-18,-0.3399916679876404,-0.4924916679876407
2021-06-21,-0.343969427595385,-0.49671942759538534
2021-06-22,-0.3340490637607887,-0.48704906376078905
2021-06-23,-0.3328896441615207,-0.4861396441615211
2021-06-24,-0.34746820995853944,-0.5009682099585399
2021-06-25,-0.36995562446984137,-0.5237056244698418
2021-06-28,-0.374926771876166,-0.5289267718761664
2021-06-29,-0.3748736598709847,-0.5291236598709851
2021-06-30,-0.3696377596561049,-0.5241377596561053
2021-07-01,-0.3755929936756011,-0.5303429936756016
2021-07-02,-0.3938990565548867,-0.5488990565548871
2021-07-07,-0.3999047048824578,-0.5551547048824582
2021-07-08,-0.3946075310773162,-0.5501075310773167
2021-07-09,-0.3938924323069372,-0.5496424323069377
2021-07-12,-0.3973401936419929,-0.5533401936419934
2021-07-13,-0.4088030888991295,-0.56505308889913
2021-07-14,-0.4211966077187577,-0.5776966077187582
2021-07-15,-0.42579553297588607,-0.5825455329758865
2021-07-16,-0.4220092512316942,-0.5790092512316947
2021-07-19,-0.412968593211201,-0.5702185932112015
2021-07-20,-0.4062697161536517,-0.5637697161536522
2021-07-21,-0.4066028820648822,-0.5643528820648828
2021-07-22,-0.4108069615987349,-0.5688069615987354
2021-07-23,-0.4098468561820416,-0.5680968561820421
2021-07-26,-0.41634278203616637,-0.5748427820361669
2021-07-27,-0.4184000895018408,-0.5771500895018413
2021-07-28,-0.41812457943724146,-0.5771245794372419
2021-07-29,-0.4203610103434003,-0.5796110103434008
2021-07-30,-0.42350013952619153,-0.583000139526192
2021-08-02,-0.412152652940172,-0.5719026529401725
2021-08-03,-0.4190855301451307,-0.5790855301451312
2021-08-04,-0.420800488718554,-0.5810504887185545
2021-08-05,-0.41461201188056407,-0.5751120118805645
2021-08-06,-0.40991344705227434,-0.5706634470522748
2021-08-09,-0.4073629115836714,-0.5683629115836718
2021-08-10,-0.41208519048068853,-0.5733351904806889
2021-08-11,-0.4096297406371749,-0.5711297406371753
2021-08-12,-0.4154574574039576,-0.577207457403958
2021-08-13,-0.41778085653954117,-0.5797808565395415
2021-08-16,-0.4116102236519215,-0.5738602236519218
2021-08-17,-0.4238181072469598,-0.5863181072469601
2021-08-18,-0.4232559669815428,-0.5860059669815431
2021-08-19,-0.41269466963226986,-0.5756946696322701
2021-08-20,-0.41848958077763115,-0.5817395807776314
2021-08-23,-0.436506146667884,-0.6000061466678843
2021-08-24,-0.4404871895170442,-0.6042371895170445
2021-08-25,-0.4346934788848353,-0.5986934788848356
2021-08-26,-0.43989756660335405,-0.6041475666033543
2021-08-27,-0.42171374514317794,-0.5862137451431783
2021-08-30,-0.4271144213336535,-0.5918644213336538
2021-08-31,-0.41766438058679756,-0.5826643805867978
2021-09-01,-0.4298578801055769,-0.5951078801055771
2021-09-02,-0.41890404867955977,-0.58440404867956
2021-09-03,-0.42630516857107825,-0.5920551685710784
2021-09-07,-0.42182779719609764,-0.5878277971960978
2021-09-08,-0.4356219112174982,-0.6018719112174984
2021-09-09,-0.4327039521971447,-0.5992039521971448
2021-09-10,-0.46356562656711814,-0.6303156265671183
2021-09-13,-0.4508294048324746,-0.6178294048324747
2021-09-14,-0.45695930434817056,-0.6242093043481707
2021-09-15,-0.45303151264017794,-0.620531512640178
2021-09-16,-0.4572789848918029,-0.625028984891803
2021-09-17,-0.45226552125325675,-0.6202655212532568
2021-09-20,-0.440263784524911,-0.6085137845249111
2021-09-21,-0.4344691293344638,-0.6029691293344639
2021-09-22,-0.44073415690407436,-0.6094841569040744
2021-09-23,-0.44290607934002024,-0.6119060793400203
2021-09-24,-0.4676105978334655,-0.6368605978334655
2021-09-27,-0.5018015628990291,-0.6713015628990291
2021-09-28,-0.5009371983622607,-0.6706871983622607
2021-09-29,-0.49262878516655806,-0.662628785166558
2021-09-30,-0.5142994271951622,-0.6845494271951621
2021-10-01,-0.5274208317129518,-0.6979208317129518
2021-10-04,-0.5190445205439496,-0.6897945205439496
2021-10-05,-0.5154984413527407,-0.6864984413527409
2021-10-06,-0.5149848961434234,-0.6862348961434235
2021-10-07,-0.5099421022769718,-0.681442102276972
2021-10-08,-0.5070372347251838,-0.678787234725184
2021-10-11,-0.4981675068981588,-0.670167506898159
2021-10-12,-0.48539522644345284,-0.657645226443453
